15
5,9,4
5,8,3
6,8,4
6,7,3
5,9,3
5,9,1
4,9,2
5,8,4
7,7,4
7,7,3
4,10,2
7,6,3
4,10,1
5,7,4
5,6,4
8,7,2
8,8,1
4,9,1
5,5,1
4,10,3
4,11,2
8,8,2
4,11,1
4,5,1
3,5,1
4,5,4
5,5,4
5,7,1
3,5,2
4,4,1
3,11,1
4,12,3
4,4,4
2,11,1
8,7,3
3,9,1
3,11,2
5,10,2
8,9,1
8,9,3
4,7,2
4,8,1
2,11,4
1,11,4
9,9,3
3,4,4
4,3,4
3,6,1
5,5,3
5,12,2
5,13,2
8,6,4
1,10,1
5,4,4
5,13,3
2,6,1
9,7,3
9,9,4
6,9,2
10,9,2
3,3,1
8,5,1
9,7,4
2,6,2
5,11,3
3,12,2
3,13,2
8,5,4
5,3,4
2,3,4
1,6,1
6,10,3
2,2,1
10,10,2
10,7,3
1,2,1
5,2,3
0,2,2
5,3,3
3,3,4
6,13,3
3,2,4
4,12,2
10,10,3
2,11,2
5,14,3
10,11,1
11,7,4
7,13,2
2,3,2
5,6,3
2,3,1
8,4,4
11,6,4
6,11,2
3,14,1
11,5,1
2,12,1
9,11,2
8,4,1
11,7,3
4,5,2
2,5,1
6,5,4
3,14,3
0,3,2
3,1,1
12,7,3
0,10,4
7,10,3
9,11,4
0,2,4
0,9,4
11,7,2
10,11,3
11,11,3
7,4,4
8,3,3
9,6,4
7,3,4
7,2,3
9,11,1
12,11,4
12,7,2
9,3,4
9,2,4
0,10,2
5,2,4
12,11,3
13,11,4
9,12,1
10,5,4
12,7,4
7,13,3
0,6,4
13,7,3
13,10,3
2,1,4
13,7,4
2,7,1
14,7,4
12,8,2
7,2,4
2,0,1
3,1,4
12,11,2
8,12,1
9,5,4
7,1,3
11,5,4
11,8,1
8,13,2
12,12,2
7,10,2
12,13,2
9,2,3
7,1,4
9,1,4
14,7,2
0,8,4
12,12,1
11,5,3
1,12,1
12,9,1
14,10,4
9,6,3
5,1,4
10,2,3
1,3,2
2,7,3
3,13,1
9,3,3
12,13,3
10,3,3
2,14,1
11,12,2
9,1,3
5,0,3
10,11,2
8,14,3
11,13,1
11,13,2
0,9,3
7,1,1
1,14,1
11,4,3
9,14,4
13,13,3
1,14,4
9,0,3
13,10,4
13,13,4
9,0,1
14,6,4
1,7,2
12,4,3
14,13,2
1,8,3
0,14,4
9,14,3
13,4,3
13,4,4
12,14,3
1,0,2
14,8,1
13,12,3
10,0,3
14,12,4
13,3,4
13,2,3
11,0,3
12,0,3
14,4,4
11,0,2
13,6,4
3,1,3
0,1,4
13,0,3
13,0,2
12,4,4
11,2,3
13,1,1
14,0,2
3,0,3
